contenu,commentaire,tome,chapitre,scene,locuteur,characters,english,english_com
"— L’Ordre pense que nous avons infiltré le ministère. [Rogue]<br>— Pour une fois, l’Ordre a raison, pas vrai ? dit un petit homme replet assis non loin de Yaxley.",,7,1,0,Severus Rogue,"Severus Rogue, Yaxley",,
"J’ai beaucoup appris, à présent. Je comprends aujourd’hui des choses qui m’échappaient auparavant. Je dois être celui qui tuera Harry Potter et je le serai.",,7,1,0,Lord Voldemort,"Lord Voldemort, Harry Potter",,
"— Non contente de polluer et de corrompre l’esprit des jeunes sorciers, le professeur Burbage a publié la semaine dernière dans La Gazette du sorcier une défense passionnée des Sang-de-Bourbe. Les sorciers, affirme-t-elle, doivent accepter ces voleurs de leur savoir et de leurs pouvoirs magiques. La diminution du nombre des Sang-Pur est une tendance qu’elle estime souhaitable… Elle voudrait nous marier tous à des Moldus… ou, sans doute, à des loups-garous.",,7,1,0,Lord Voldemort,"Charity Burbage, Lord Voldemort",,
"— Le dîner est servi, Nagini, dit Voldemort d’une voix douce.",,7,1,0,Lord Voldemort,"Nagini, Lord Voldemort",,
"La future carrière de Dumbledore semblait promise à une ascension météorique et la seule question qui demeurait était de savoir à quel moment il deviendrait ministre de la Magie. Bien que, par la suite, il ait été sur le point d’accepter la fonction, il n’eut jamais d’ambitions ministérielles.",Extrait de l'article de la Gazette du Sorcier 'EN SOUVENIR D'ALBUS DUMBLEDORE' par Elphias Doge,7,2,0,Elphias Doge,"Albus Dumbledore, Elphias Doge",,
"Parmi tous les directeurs de Poudlard, on ne peut douter qu’il a été le plus stimulant et le plus aimé. Il est mort comme il a vécu : en oeuvrant pour le plus grand bien et toujours disposé, jusqu’à sa dernière heure autant que le jour où je l’ai rencontré, à tendre la main à un petit garçon affligé de Dragoncelle.",Extrait de l'article de la Gazette du Sorcier 'EN SOUVENIR D'ALBUS DUMBLEDORE' par Elphias Doge,7,2,0,Elphias Doge,"Albus Dumbledore, Elphias Doge",,
"Il pensait connaître bien Dumbledore mais, après avoir lu l’article, il était forcé d’admettre qu’il le connaissait à peine.<br>Jamais il n’avait songé à ce qu’avait pu être son enfance ou sa jeunesse. C’était comme s’il était soudain né à la vie tel qu’il l’avait toujours vu, âgé, vénérable, les cheveux argentés. L’idée d’un Dumbledore adolescent lui paraissait une bizarrerie, comme imaginer une Hermione stupide ou un Scroutt à pétard affectueux.",,7,2,0,Harry Potter,"Harry Potter, Albus Dumbledore, Hermione Granger",,
"Au Moyen Age, les personnes dépourvues de pouvoirs magiques (appelées communément « Moldus ») ressentaient une terreur particulière à l'égard de la sorcellerie, mais étaient souvent incapables de reconnaître ceux qui la pratiquaient vraiment. Lorsque, par extraordinaire, un sorcier ou une sorcière doté de réels pouvoirs magiques était capturé, sa condamnation au bûcher n'avait aucun effet. Le condamné se contentait de jeter un simple sortilège de Gèle-Flamme, puis faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de chatouillis. Gwendoline la Fantasque, par exemple, était toujours ravie de se faire brûler vive, à tel point qu'elle s'arrangea pour être capturée quarante-sept fois sous divers déguisements.",Extrait d'<u>Histoire de la Magie</u>,3,1,0,Narrateur,Gwendoline la Fantasque,,
"Il s'agit d'un Scrutoscope de poche. Lorsque quelqu'un en qui on ne peut pas avoir confiance se trouve dans les parages, il doit normalement s'allumer et se mettre à tourner. Bill prétend que c'est un attrape-nigaud qu'on vend aux sorciers qui font du tourisme. Il dit qu'on ne peut pas s'y fier, sous prétexte qu'il est resté allumé pendant tout le dîner, hier soir. Mais il ne s'était pas rendu compte que Fred et George avaient mis des scarabées dans sa soupe.",Ron dans une lettre à Harry,3,1,0,Ron Weasley,"Harry Potter, Ron Weasley, Bill Weasley, Fred Weasley, George Weasley",,
"Il savait que Hagrid ne lui aurait jamais envoyé volontairement quelque chose de dangereux, mais Hagrid n'avait pas la même notion du danger que la moyenne des gens normaux. Nul n'ignorait qu'il éprouvait une grande tendresse pour les araignées géantes, qu'il s'était empressé d'acheter un redoutable chien à trois têtes à un étranger rencontré dans un pub et qu'il dissimulait volontiers des oeufs de dragon dans sa cabane.",,3,1,0,Narrateur,"Rubeus Hagrid, Harry Potter",,
